#.t	.Temp_air	
#d	degC
3.5347222	-1
3.5381944	-1
3.5416667	-1
3.5451389	-1
3.5486111	-1
3.5520833	-1
3.5555556	-1
3.5590278	-1
3.5625	-1
3.5659722	-1
3.5694444	-1
3.5729167	-1
3.5763889	-1
3.5798611	-1
3.5833333	-1
3.5868056	-1
3.5902778	-1
3.59375	-1
3.5972222	-1
3.6006944	-1
3.6041667	-1
3.6076389	-1
3.6111111	-1
3.6145833	-1
3.6180556	-1
3.6215278	-1
3.625	-1
3.6284722	-1
3.6319444	-1
3.6354167	-1
3.6388889	-1
3.6423611	-1
3.6458333	-1
3.6493056	-1
3.6527778	-1
3.65625	-1
3.6597222	-1
3.6631944	-1
3.6666667	-1
3.6701389	-1
3.6736111	-1
3.6770833	-1
3.6805556	-1
3.6840278	-1
3.6875	-1
3.6909722	-1
3.6944444	-1
3.6979167	-1
3.7013889	-1
3.7048611	-1
3.7083333	-1
3.7118056	-1
3.7152778	-1
3.71875	-1
3.7222222	-1
3.7256944	-1
3.7291667	-1
3.7326389	-1
3.7361111	-1
3.7395833	-1
3.7430556	-1
3.7465278	-1
3.75	-1
3.7534722	-1
3.7569444	-1
3.7604167	-1
3.7638889	-1
3.7673611	-1
3.7708333	-1
3.7743056	-1
3.7777778	-1
3.78125	-1
3.7847222	-1
3.7881944	-1
3.7916667	-1
3.7951389	-1
3.7986111	-1
3.8020833	-1
3.8055556	-1
3.8090278	-1
3.8125	-1
3.8159722	-1
3.8194444	-1
3.8229167	-1
3.8263889	-1
3.8298611	-1
3.8333333	-1
3.8368056	-1
3.8402778	-1
3.84375	-1
3.8472222	-1
3.8506944	-1
3.8541667	-1
3.8576389	-1
3.8611111	-1
3.8645833	-1
3.8680556	-1
3.8715278	-1
3.875	-1
3.8784722	-1
3.8819444	-1
3.8854167	-1
3.8888889	-1
3.8923611	-1
3.8958333	-1
3.8993056	-1
3.9027778	-1
3.90625	-1
3.9097222	-1
3.9131944	-1
3.9166667	-1
3.9201389	-1
3.9236111	-1
3.9270833	-1
3.9305556	-1
3.9340278	-1
3.9375	-1
3.9409722	-1
3.9444444	-1
3.9479167	-1
3.9513889	-1
3.9548611	-1
3.9583333	-1
3.9618056	-1
3.9652778	-1
3.96875	-1
3.9722222	-1
3.9756944	-1
3.9791667	-1
3.9826389	-1
3.9861111	-1
3.9895833	-1
3.9930556	-1
3.9965278	-1
4	-2
4.0034722	-2
4.0069444	-2
4.0104167	-2
4.0138889	-2
4.0173611	-2
4.0208333	-2
4.0243056	-2
4.0277778	-2
4.03125	-2
4.0347222	-2
4.0381944	-2
4.0416667	-2
4.0451389	-2
4.0486111	-2
4.0520833	-2
4.0555556	-2
4.0590278	-2
4.0625	-2
4.0659722	-2
4.0694444	-2
4.0729167	-2
4.0763889	-2
4.0798611	-2
4.0833333	-2
4.0868056	-2
4.0902778	-2
4.09375	-2
4.0972222	-2
4.1006944	-2
4.1041667	-2
4.1076389	-2
4.1111111	-2
4.1145833	-2
4.1180556	-2
4.1215278	-2
4.125	-2
4.1284722	-2
4.1319444	-2
4.1354167	-2
4.1388889	-2
4.1423611	-2
4.1458333	-2
4.1493056	-2
4.1527778	-2
4.15625	-2
4.1597222	-2
4.1631944	-2
4.1666667	-2
4.1701389	-2
4.1736111	-2
4.1770833	-2
4.1805556	-2
4.1840278	-2
4.1875	-2
4.1909722	-2
4.1944444	-2
4.1979167	-2
4.2013889	-2
4.2048611	-2
4.2083333	-2
4.2118056	-2
4.2152778	-2
4.21875	-2
4.2222222	-2
4.2256944	-2
4.2291667	-2
4.2326389	-2
4.2361111	-2
4.2395833	-2
4.2430556	-2
4.2465278	-2
4.25	-2
4.2534722	-2
4.2569444	-2
4.2604167	-2
4.2638889	-2
4.2673611	-2
4.2708333	-2
4.2743056	-2
4.2777778	-2
4.28125	-2
4.2847222	-2
4.2881944	-2
4.2916667	-2
4.2951389	-2
4.2986111	-2
4.3020833	-2
4.3055556	-2
4.3090278	-2
4.3125	-2
4.3159722	-2
4.3194444	-2
4.3229167	-2
4.3263889	-2
4.3298611	-2
4.3333333	-2
4.3368056	-2
4.3402778	-2
4.34375	-2
4.3472222	-2
4.3506944	-2
4.3541667	-2
4.3576389	-2
4.3611111	-2
4.3645833	-2
4.3680556	-2
4.3715278	-2
4.375	-2
4.3784722	-2
4.3819444	-2
4.3854167	-2
4.3888889	-2
4.3923611	-2
4.3958333	-2
4.3993056	-2
4.4027778	-2
4.40625	-2
4.4097222	-2
4.4131944	-2
4.4166667	-2
4.4201389	-2
4.4236111	-2
4.4270833	-2
4.4305556	-2
4.4340278	-2
4.4375	-2
4.4409722	-2
4.4444444	-2
4.4479167	-2
4.4513889	-2
4.4548611	-2
4.4583333	-2
4.4618056	-2
4.4652778	-2
4.46875	-2
4.4722222	-2
4.4756944	-2
4.4791667	-2
4.4826389	-2
4.4861111	-2
4.4895833	-2
4.4930556	-2
4.4965278	-2
4.5	-2
4.5034722	-2
4.5069444	-2
4.5104167	-2
4.5138889	-2
4.5173611	-2
4.5208333	-2
4.5243056	-2
4.5277778	-2
4.53125	-2
4.5347222	-2
4.5381944	-2
4.5416667	-2
4.5451389	-2
4.5486111	-2
4.5520833	-2
4.5555556	-2
4.5590278	-2
4.5625	-2
4.5659722	-2
4.5694444	-2
4.5729167	-2
4.5763889	-2
4.5798611	-2
4.5833333	-2
4.5868056	-2
4.5902778	-2
4.59375	-2
4.5972222	-2
4.6006944	-2
4.6041667	-2
4.6076389	-2
4.6111111	-2
4.6145833	-2
4.6180556	-2
4.6215278	-2
4.625	-2
4.6284722	-2
4.6319444	-2
4.6354167	-2
4.6388889	-2
4.6423611	-2
4.6458333	-2
