#.t	Pressure
#d	hPa
1.3368056	103500
1.3402778	103500
1.34375	103500
1.3472222	103500
1.3506944	103500
1.3541667	103500
1.3576389	103500
1.3611111	103500
1.3645833	103500
1.3680556	103500
1.3715278	103500
1.375	103500
1.3784722	103500
1.3819444	103500
1.3854167	103500
1.3888889	103500
1.3923611	103500
1.3958333	103500
1.3993056	103500
1.4027778	103500
1.40625	103500
1.4097222	103500
1.4131944	103500
1.4166667	103500
1.4201389	103500
1.4236111	103500
1.4270833	103500
1.4305556	103500
1.4340278	103500
1.4375	103500
1.4409722	103500
1.4444444	103500
1.4479167	103500
1.4513889	103500
1.4548611	103500
1.4583333	103500
1.4618056	103500
1.4652778	103500
1.46875	103500
1.4722222	103500
1.4756944	103500
1.4791667	103500
1.4826389	103500
1.4861111	103500
1.4895833	103500
1.4930556	103500
1.4965278	103500
1.5	103500
1.5034722	103500
1.5069444	103500
1.5104167	103500
1.5138889	103500
1.5173611	103500
1.5208333	103500
1.5243056	103500
1.5277778	103500
1.53125	103500
1.5347222	103500
1.5381944	103500
1.5416667	103500
1.5451389	103500
1.5486111	103500
1.5520833	103500
1.5555556	103500
1.5590278	103500
1.5625	103500
1.5659722	103500
1.5694444	103500
1.5729167	103500
1.5763889	103500
1.5798611	103500
1.5833333	103500
1.5868056	103500
1.5902778	103500
1.59375	103500
1.5972222	103500
1.6006944	103500
1.6041667	103500
1.6076389	103500
1.6111111	103500
1.6145833	103500
1.6180556	103500
1.6215278	103500
1.625	103500
1.6284722	103500
1.6319444	103500
1.6354167	103500
1.6388889	103500
1.6423611	103500
1.6458333	103500
1.6493056	103500
1.6527778	103500
1.65625	103500
1.6597222	103500
1.6631944	103500
1.6666667	103500
1.6701389	103500
1.6736111	103500
1.6770833	103500
1.6805556	103500
1.6840278	103500
1.6875	103500
1.6909722	103500
1.6944444	103500
1.6979167	103500
1.7013889	103500
1.7048611	103500
1.7083333	103500
1.7118056	103500
1.7152778	103500
1.71875	103500
1.7222222	103500
1.7256944	103500
1.7291667	103500
1.7326389	103500
1.7361111	103500
1.7395833	103500
1.7430556	103500
1.7465278	103500
1.75	103500
1.7534722	103500
1.7569444	103500
1.7604167	103500
1.7638889	103500
1.7673611	103500
1.7708333	103500
1.7743056	103500
1.7777778	103500
1.78125	103500
1.7847222	103500
1.7881944	103500
1.7916667	103500
1.7951389	103500
