#.t	.Inflow(H2O)	.Inflow(S_A)	.Inflow(S_ALK)	.Inflow(S_Al)	.Inflow(S_F)	.Inflow(S_I)	.Inflow(S_N2)	.Inflow(S_NH)	.Inflow(S_NO)	.Inflow(S_O)	.Inflow(S_PO)	.Inflow(X_AUT)	.Inflow(X_H)	.Inflow(X_I)	.Inflow(X_I_i)	.Inflow(X_MEOH)	.Inflow(X_MEP)	.Inflow(X_PAO)	.Inflow(X_PHA)	.Inflow(X_PP)	.Inflow(X_S)	.Inflow(X_TSS)	.Influent_Load(H2O)	.Influent_Load(S_A)	.Influent_Load(S_ALK)	.Influent_Load(S_Al)	.Influent_Load(S_F)	.Influent_Load(S_I)	.Influent_Load(S_N2)	.Influent_Load(S_NH)	.Influent_Load(S_NO)	.Influent_Load(S_O)	.Influent_Load(S_PO)	.Influent_Load(X_AUT)	.Influent_Load(X_H)	.Influent_Load(X_I)	.Influent_Load(X_I_i)	.Influent_Load(X_MEOH)	.Influent_Load(X_MEP)	.Influent_Load(X_PAO)	.Influent_Load(X_PHA)	.Influent_Load(X_PP)	.Influent_Load(X_S)	.Influent_Load(X_TSS)
#d																																												
220.58192	97225.3344	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-97225334400	-5275203.581208	-0	-0	-7912805.371812	-7912805.371812	-0	-4224440.77968	-0	-0	-855582.94272	-0	-0	-15711001.5194333	-8418780.59582976	-0	-0	-0	-0	-0	-34969648.5432547	-32379925.368576
220.58539	116557.668	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-116557668000	-5979175.253064	-0	-0	-8968762.879596	-8968762.879596	-0	-4788189.00144	-0	-0	-969759.79776	-0	-0	-19958645.0469254	-10356064.880279	-0	-0	-0	-0	-0	-44424080.9108986	-39831018.770304
220.58887	84215.4864	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-84215486400	-4320086.0213472	-0	-0	-6480129.0320208	-6480129.0320208	-0	-3459572.181312	-0	-0	-700672.846848	-0	-0	-14420561.3354565	-7482485.33148979	-0	-0	-0	-0	-0	-32097378.4563387	-28778789.7364992
220.59234	95866.3704	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-95866370400	-4917753.0687792	-0	-0	-7376629.6031688	-7376629.6031688	-0	-3938190.496032	-0	-0	-797608.201728	-0	-0	-16415589.7383832	-8517657.98625331	-0	-0	-0	-0	-0	-36537925.546724	-32760223.0240512
220.59581	106416.6744	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-106416674400	-5458962.5633712	-0	-0	-8188443.8450568	-8188443.8450568	-0	-4371596.984352	-0	-0	-885386.731008	-0	-0	-18222161.3375436	-9455044.90043443	-0	-0	-0	-0	-0	-40559004.2674356	-36365557.3093632
220.59928	100096.9104	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-100096910400	-5134771.3096992	-0	-0	-7702156.9645488	-7702156.9645488	-0	-4111981.079232	-0	-0	-832806.294528	-0	-0	-17140002.3631864	-8893538.41926451	-0	-0	-0	-0	-0	-38150327.8406408	-34205916.9971712
220.60275	100212.7752	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-100212775200	-5140714.9422096	-0	-0	-7711072.4133144	-7711072.4133144	-0	-4116740.805216	-0	-0	-833770.289664	-0	-0	-17159842.3656188	-8903832.92332186	-0	-0	-0	-0	-0	-38194487.8460548	-34245511.2435456
220.60623	101773.5096	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-101773509600	-5220777.4954608	-0	-0	-7831166.2431912	-7831166.2431912	-0	-4180855.774368	-0	-0	-846755.599872	-0	-0	-17427093.2847272	-9042503.05103309	-0	-0	-0	-0	-0	-38789336.6660056	-34778857.8885888
220.6097	106935.828	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-106935828000	-5485594.104744	-0	-0	-8228391.157116	-8228391.157116	-0	-4392923.81424	-0	-0	-889706.08896	-0	-0	-18311058.1266182	-9501171.32400384	-0	-0	-0	-0	-0	-40756871.3140858	-36542966.630784
220.61317	113750.0736	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-113750073600	-5835151.2755328	-0	-0	-8752726.9132992	-8752726.9132992	-0	-4672853.023488	-0	-0	-946400.612352	-0	-0	-19477889.2028283	-10106612.139307	-0	-0	-0	-0	-0	-43354011.4514565	-38871585.1511808
220.61664	108459.84	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-108459840000	-5563772.87232	-0	-0	-8345659.30848	-8345659.30848	-0	-4455530.2272	-0	-0	-902385.8688	-0	-0	-18572020.9193472	-9636578.6929152	-0	-0	-0	-0	-0	-41337723.9817728	-37063764.20352
220.62012	103674.864	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-103674864000	-5318313.173472	-0	-0	-7977469.760208	-7977469.760208	-0	-4258963.41312	-0	-0	-862574.86848	-0	-0	-17752669.9561651	-9211437.02049792	-0	-0	-0	-0	-0	-39514007.3217869	-35428603.924992
220.62359	105076.4184	51.298	0	0	76.947	76.947	0	41.08	0	0	8.32	0	0	171.23408	88.84928	0	0	0	0	0	381.13392	341.728	-105076418400	-5390210.1110832	-0	-0	-8085315.1666248	-8085315.1666248	-0	-4316539.267872	-0	-0	-874235.801088	-0	-0	-17992663.8344191	-9335964.11981875	-0	-0	-0	-0	-0	-40048187.2443521	-35907554.3069952
220.62706	104593.2144	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	172.45734	88.84928	0	0	0	0	0	383.85666	341.728	-104593214400	-5262241.5062856	-0	-0	-7893362.2594284	-7893362.2594284	-0	-4214060.608176	-0	-0	-853480.629504	-0	-0	-18037867.5374737	-9293031.79232563	-0	-0	-0	-0	-0	-40148801.9382479	-35742429.9704832
220.63053	139757.4792	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	172.45734	88.84928	0	0	0	0	0	383.85666	341.728	-139757479200	-7031408.4147708	-0	-0	-10547112.6221562	-10547112.6221562	-0	-5630828.836968	-0	-0	-1140421.030272	-0	-0	-24102203.1079373	-12417351.401535	-0	-0	-0	-0	-0	-53646839.1757315	-47759043.8520576
220.634	130705.1424	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	172.45734	88.84928	0	0	0	0	0	383.85666	341.728	-130705142400	-6575971.7718576	-0	-0	-9863957.6577864	-9863957.6577864	-0	-5266110.187296	-0	-0	-1066553.961984	-0	-0	-22541061.1826252	-11613057.7945375	-0	-0	-0	-0	-0	-50172039.4064884	-44665606.9020672
