.ASU_5.NH4,.ASU_5.NO3,.out_1.TSS
4.9602111,6.1649744,9.6053921
4.9498231,6.1693023,9.5992107
4.9394282,6.1736488,9.5930371
4.9290266,6.1780138,9.5868716
4.9186184,6.1823973,9.5807142
4.9082037,6.1867991,9.5745652
4.8977827,6.1912193,9.5684246
4.8873553,6.1956578,9.5622926
4.8769216,6.2001145,9.5561693
4.8664817,6.2045894,9.5500548
4.8560355,6.2090825,9.5439491
4.8455831,6.2135938,9.5378524
4.8351244,6.2181232,9.5317646
4.8246595,6.2226707,9.525686
4.8158925,6.2264923,9.5206033
4.8068127,6.2304615,9.5153488
4.7969779,6.2347738,9.5096681
4.7865193,6.2393745,9.5036394
4.7761762,6.2439392,9.4976897
4.7657715,6.2485462,9.491717
4.7553559,6.2531729,9.4857507
4.7449413,6.2578141,9.4797975
4.7345299,6.2624688,9.4738589
4.7241214,6.2671371,9.4679344
4.7137144,6.2718195,9.4620235
4.7033077,6.2765166,9.4561254
4.6929003,6.2812286,9.4502395
4.6824912,6.2859562,9.4443654
4.6720797,6.2906995,9.4385026
4.6616651,6.2954589,9.4326508
4.6512467,6.3002346,9.4268096
4.6408242,6.3050268,9.4209787
4.630397,6.3098357,9.415158
4.6199647,6.3146614,9.4093472
4.6095271,6.3195042,9.4035461
4.5990839,6.3243641,9.3977547
4.5886347,6.3292412,9.3919728
4.5781795,6.3341356,9.3862002
4.567718,6.3390474,9.380437
4.5572501,6.3439767,9.3746829
4.5467756,6.3489234,9.368938
4.5362945,6.3538877,9.3632022
4.5258066,6.3588696,9.3574755
4.5153119,6.3638691,9.3517577
4.5048103,6.3688863,9.3460489
4.4943017,6.3739211,9.340349
4.4837861,6.3789736,9.334658
4.4732636,6.3840438,9.3289759
4.462734,6.3891317,9.3233027
4.4521973,6.3942373,9.3176382
4.4416535,6.3993606,9.3119826
4.4311027,6.4045016,9.3063357
4.4272789,6.4063683,9.3042924
4.4244427,6.4077542,9.3027778
4.4227213,6.4085958,9.3018589
4.4210186,6.4094286,9.3009505
4.4162554,6.4117603,9.2984123
