#.t	NH4	PO4	Q	CODt	CODs	TSS
#d	g/m3	g/m3	m3/h	g/m3	g/m3	g/m3
221.22428	41.54663086	8.163	0	0	0	0
221.22775	41.52832031	8.086	0	0	0	0
221.23122	41.52832031	8.068	0	0	0	0
221.2347	41.55273438	8.046	0	0	0	0
221.23817	47.65625	8.075	0	0	0	0
221.24164	47.7457695	8.086	0	0	0	0
221.24511	47.74169922	8.064	0	0	0	0
221.24858	47.72949219	8.086	0	0	0	0
221.25206	47.7457695	8.086	0	0	0	0
221.25553	47.72949219	8.112	0	0	0	0
221.259	47.74169922	8.110002878	0	0	0	0
221.26247	47.72949219	8.108	0	0	0	0
221.26595	45.8984375	8.119	0	0	0	0
221.26942	46.24023438	8.145	0	0	0	0
221.27289	46.43554688	8.086	0	0	0	0
221.27636	46.94824219	8.038	0	0	0	0
221.27983	47.33886719	8.053	0	0	0	0
221.28331	47.58300781	8.086	0	0	0	0
221.28678	47.29003906	8.086	0	0	0	0
221.29025	47.41210938	8.024	0	0	0	0
221.29372	47.79052734	8.035	0	0	0	0
221.29719	47.89225388	8.02	0	0	0	0
221.30067	47.92480469	7.983	0	0	0	0
221.30414	48.12011719	7.943	0	0	0	0
221.30761	48.19335938	7.961	0	0	0	0
221.31108	48.16894531	7.91	0	0	0	0
221.31456	48.19335938	7.855	0	0	0	0
221.31803	48.3479805	7.855	0	0	0	0
221.3215	48.4375	7.892	0	0	0	0
221.32497	48.33984375	7.866	0	0	0	0
221.32844	48.19335938	7.859	0	0	0	0
221.33192	48.48632813	7.833	0	0	0	0
221.33539	48.4375	7.826	0	0	0	0
221.33886	48.51074219	7.852	0	0	0	0
221.34233	48.37239456	7.841	0	0	0	0
221.34581	48.26660156	7.789	0	0	0	0
221.34928	48.6328125	7.775	0	0	0	0
221.35275	48.90136719	7.775	0	0	0	0
221.35622	48.75488281	7.8	0	0	0	0
221.35969	49.12109375	7.811	0	0	0	0
221.36317	49.19433594	7.778	0	0	0	0
221.36664	49.0234375	7.76	0	0	0	0
221.37011	48.828125	7.709	0	0	0	0
221.37358	48.79150391	7.709	0	0	0	0
221.37706	48.59619141	7.731	0	0	0	0
221.38053	48.55957031	7.753	0	0	0	0
221.384	48.42122269	7.753	0	0	0	0
221.38747	48.48632813	7.811	0	0	0	0
221.39094	48.51074219	7.833	0	0	0	0
221.39442	48.36425781	7.822	0	0	0	0
221.39789	48.48632813	7.833	0	0	0	0
221.40136	48.33984375	7.833	0	0	0	0
221.40483	48.33984375	7.804	0	0	0	0
221.40831	48.33984375	7.745	0	0	0	0
221.41178	48.046875	7.716	0	0	0	0
221.41525	48.02246094	7.555	0	0	0	0
221.41872	48.07128906	7.408	0	0	0	0
221.42219	47.97363281	7.24	0	0	0	0
221.42567	47.87597656	7.079	0	0	0	0
221.42914	47.33886719	6.973	0	0	0	0
221.43261	47.4609375	6.87	0	0	0	0
221.43608	47.57080078	6.793	0	0	0	0
221.43956	47.68066406	6.691	0	0	0	0
221.44303	47.60742188	6.689	0	0	0	0
221.4465	47.53417969	6.687	0	0	0	0
221.44997	46.92382813	6.625	0	0	0	0
221.45344	46.75292969	6.614	0	0	0	0
221.45692	46.31347656	6.61	0	0	0	0
221.46039	45.00325394	6.588	0	0	0	0
221.46386	44.59228516	6.601018705	0	0	0	0
221.46733	44.36035156	6.614	0	0	0	0
221.4708	44.16503906	6.595	0	0	0	0
221.47428	43.88834763	6.548	0	0	0	0
221.47775	43.77441406	6.566	0	0	0	0
221.48122	43.50585938	6.566	0	0	0	0
221.48469	43.50585938	6.541	0	0	0	0
221.48817	43.31054688	6.595	0	0	0	0
221.49164	43.12337112	6.614	0	0	0	0
221.49511	43.09082031	6.603	0	0	0	0
221.49858	43.08268356	6.592	0	0	0	0
221.50205	43.13964844	6.588	0	0	0	0
221.50553	42.85481644	6.603	0	0	0	0
221.509	42.82226563	6.672	0	0	0	0
221.51247	42.70019531	6.694	0	0	0	0
221.51594	42.72460938	6.724	0	0	0	0
221.51942	42.7734375	6.705	0	0	0	0
221.52289	42.60253906	6.676	0	0	0	0
221.52636	42.72460938	6.749	0	0	0	0
221.52983	42.70019531	6.771	0	0	0	0
221.5333	42.66357422	6.757	0	0	0	0
221.53678	42.60253906	6.669	0	0	0	0
221.54025	42.70019531	6.65	0	0	0	0
221.54372	42.84667969	6.621	0	0	0	0
221.54719	42.84667969	6.617	0	0	0	0
221.55067	42.62695313	6.636	0	0	0	0
221.55414	43.09082031	6.603	0	0	0	0
221.55761	43.18847656	6.581	0	0	0	0
221.56108	43.18847656	6.563	0	0	0	0
221.56455	43.28613281	6.639	0	0	0	0
221.56803	43.07861328	6.654	0	0	0	0
221.5715	43.09082031	6.599	0	0	0	0
221.57497	42.86499023	6.566	0	0	0	0
221.57844	42.84667969	6.504	0	0	0	0
221.58192	42.91992188	6.599	0	0	0	0
221.58539	42.90771484	6.559	0	0	0	0
221.58886	42.91992188	6.552	0	0	0	0
221.59233	42.91992188	6.541	0	0	0	0
221.5958	42.04101563	6.504	0	0	0	0
221.59928	41.47949219	6.478	0	0	0	0
221.60275	41.77246094	6.526	0	0	0	0
221.60622	41.89453125	6.489	0	0	0	0
221.60969	42.23632813	6.504	0	0	0	0
221.61317	42.55371094	6.548	0	0	0	0
221.61664	42.94433594	6.493	0	0	0	0
221.62011	42.94433594	6.471	0	0	0	0
221.62358	42.94433594	6.504	0	0	0	0
221.62705	43.11523438	6.434	0	0	0	0
221.63053	43.33496094	6.438	0	0	0	0
221.634	43.359375	6.39	0	0	0	0
221.63747	43.28613281	6.401	0	0	0	0
221.64094	43.45703125	6.438	0	0	0	0
221.64441	43.44482422	6.357	0	0	0	0
221.64789	43.32682419	6.365	0	0	0	0
221.65136	43.26171875	6.335	0	0	0	0
221.65483	43.33496094	6.346	0	0	0	0
221.6583	43.23730469	6.383	0	0	0	0
221.66178	43.21289063	6.328	0	0	0	0
221.66525	42.89550781	6.27	0	0	0	0
221.66872	43.18847656	6.277	0	0	0	0
221.67219	43.13964844	6.321	0	0	0	0
221.67566	43.01757813	6.328	0	0	0	0
221.67914	42.72460938	6.306	0	0	0	0
221.68261	42.84667969	6.284	0	0	0	0
221.68608	42.60253906	6.292	0	0	0	0
221.68955	42.74902344	6.31	0	0	0	0
221.69303	42.72460938	6.27	0	0	0	0
221.6965	42.52929688	6.260513669	0	0	0	0
221.69997	42.55371094	6.251	0	0	0	0
221.70344	42.62084961	6.233	0	0	0	0
221.70691	42.55371094	6.218	0	0	0	0
221.71039	42.45605469	6.218	0	0	0	0
221.71386	42.55371094	6.218	0	0	0	0
221.71733	42.30957031	6.215	0	0	0	0
221.7208	42.23632813	6.2165	0	0	0	0
221.72428	42.1875	6.218	0	0	0	0
