#.ttime_rel	Q	CODt	CODs	TSS	NH4	PO4
#d	m3/h	g/m3	g/m3	g/m3	g/m3	g/m3
221.58539	2894.6463	757.56	205.192	341.728	41.08	8.32
221.58886	5395.1438	757.56	205.192	341.728	41.08	8.32
221.59233	3989.8178	757.56	205.192	341.728	41.08	8.32
221.5958	4040.861	757.56	205.192	341.728	41.08	8.32
221.59928	5222.7389	757.56	205.192	341.728	41.08	8.32
221.60275	4625.9571	757.56	205.192	341.728	41.08	8.32
221.60622	3416.8739	757.56	205.192	341.728	41.08	8.32
221.60969	4060.1733	757.56	205.192	341.728	41.08	8.32
221.61317	4645.576	757.56	205.192	341.728	41.08	8.32
221.61664	4357.5554	757.56	205.192	341.728	41.08	8.32
221.62011	4303.5816	757.56	205.192	341.728	41.08	8.32
221.62358	4300.5547	757.56	205.04869	341.728	41.05131	8.3141893
221.62705	4337.7181	757.56	201.246	341.728	40.29	8.16
221.63053	4357.6804	757.56	201.246	341.728	40.29	8.16
221.634	4435.9524	757.56	201.246	341.728	40.29	8.16
221.63747	4615.7018	757.56	201.246	341.728	40.29	8.16
221.64094	4549.9906	757.56	201.246	341.728	40.29	8.16
221.64441	4688.987	757.56	201.246	341.728	40.29	8.16
221.64789	4832.571	757.56	201.246	341.728	40.29	8.16
221.65136	4808.9914	757.56	201.246	341.728	40.29	8.16
221.65483	4606.5981	757.56	201.246	341.728	40.29	8.16
221.6583	4583.4388	757.56	201.246	341.728	40.29	8.16
221.66178	4787.3652	757.56	201.246	341.728	40.29	8.16
221.66525	4847.3642	757.56	201.246	341.728	40.29	8.16
221.66872	4806.8716	751.14	201.246	338.832	40.29	8.16
221.67219	4787.9527	751.14	201.246	338.832	40.29	8.16
221.67566	4663.1541	751.14	201.246	338.832	40.29	8.16
221.67914	4543.7264	751.14	201.246	338.832	40.29	8.16
221.68261	3200.8327	751.14	201.246	338.832	40.29	8.16
221.68608	3908.4039	751.14	201.246	338.832	40.29	8.16
221.68955	5089.5362	751.14	201.246	338.832	40.29	8.16
221.69303	4989.1689	751.14	201.246	338.832	40.29	8.16
221.6965	4914.3061	751.14	201.246	338.832	40.29	8.16
221.69997	4750.5312	751.14	201.246	338.832	40.29	8.16
221.70344	4697.145	751.14	201.246	338.832	40.29	8.16
221.70691	4773.1442	751.14	201.246	338.832	40.29	8.16
221.71039	3328.6155	725.46	201.246	327.248	40.29	8.16
221.71386	3830.9631	725.46	201.246	327.248	40.29	8.16
221.71733	4863.477	725.46	201.246	327.248	40.29	8.16
221.7208	4740.2215	725.46	201.246	327.248	40.29	8.16
221.72428	4790.3046	725.46	201.246	327.248	40.29	8.16
221.72775	4807.8022	725.46	201.246	327.248	40.29	8.16
221.73122	3254.1119	725.46	201.246	327.248	40.29	8.16
221.73469	3804.3364	725.46	201.246	327.248	40.29	8.16
221.73816	4834.9357	725.46	201.246	327.248	40.29	8.16
221.74164	4778.4127	725.46	201.246	327.248	40.29	8.16
221.74511	4831.7788	725.46	201.246	327.248	40.29	8.16
221.74858	4765.0281	725.46	201.246	327.248	40.29	8.16
221.75205	3355.5417	699.78	209.138	315.664	41.87	8.48
221.75553	4069.7294	699.78	209.138	315.664	41.87	8.48
221.759	5175.2116	699.78	209.138	315.664	41.87	8.48
221.76247	5109.2464	699.78	209.138	315.664	41.87	8.48
221.76594	5056.2209	699.78	209.138	315.664	41.87	8.48
221.76941	3509.4781	699.78	209.138	315.664	41.87	8.48
221.77289	2488.5195	699.78	209.138	315.664	41.87	8.48
221.77636	4191.677	699.78	209.138	315.664	41.87	8.48
221.77983	5243.4546	699.78	209.138	315.664	41.87	8.48
221.7833	5145.9251	699.78	209.138	315.664	41.87	8.48
221.78678	3617.4194	699.78	209.138	315.664	41.87	8.48
221.79025	2577.663	699.78	209.138	315.664	41.87	8.48
221.79372	4204.6108	686.94	211.111	309.872	42.265	8.56
221.79719	5228.6657	686.94	211.111	309.872	42.265	8.56
221.80066	5144.7978	686.94	211.111	309.872	42.265	8.56
221.80414	5022.64	686.94	211.111	309.872	42.265	8.56
221.80761	3580.4863	686.94	211.111	309.872	42.265	8.56
221.81108	4268.9544	686.94	211.111	309.872	42.265	8.56
221.81455	5254.495	686.94	211.111	309.872	42.265	8.56
221.81802	5182.6683	686.94	211.111	309.872	42.265	8.56
221.8215	4233.2204	686.94	211.111	309.872	42.265	8.56
221.82497	2863.2653	686.94	211.111	309.872	42.265	8.56
221.82844	4083.7467	686.94	211.111	309.872	42.265	8.56
221.83191	5194.8452	686.94	211.111	309.872	42.265	8.56
221.83539	5079.2337	674.1	203.219	304.08	40.685	8.24
221.83886	4978.5459	674.1	203.219	304.08	40.685	8.24
221.84233	3469.7766	674.1	203.219	304.08	40.685	8.24
221.8458	4095.4961	674.1	203.219	304.08	40.685	8.24
221.84927	5046.8447	674.1	203.219	304.08	40.685	8.24
221.85275	4993.8502	674.1	203.219	304.08	40.685	8.24
221.85622	5028.2472	674.1	203.219	304.08	40.685	8.24
221.85969	3426.1978	674.1	203.219	304.08	40.685	8.24
221.86316	3965.5077	674.1	203.219	304.08	40.685	8.24
221.86664	5090.4562	674.1	203.219	304.08	40.685	8.24
221.87011	5032.4486	674.1	203.219	304.08	40.685	8.24
221.87358	4901.7802	674.1	203.219	304.08	40.685	8.24
221.87705	3414.0403	674.1	197.3	304.08	39.5	8
221.88052	3883.9258	674.1	197.3	304.08	39.5	8
221.884	4984.9236	674.1	197.3	304.08	39.5	8
221.88747	5041.9859	674.1	197.3	304.08	39.5	8
221.89094	4993.2612	674.1	197.3	304.08	39.5	8
221.89441	3469.0217	674.1	197.3	304.08	39.5	8
221.89789	2463.8699	674.1	197.3	304.08	39.5	8
221.90136	3834.6818	674.1	197.3	304.08	39.5	8
